Season,TeamID,TeamName,seed_num,region,Seed
2021,1161,Colorado St,1,W,W1
2021,1138,Buffalo,4,W,W4
2021,1172,Davidson,2,W,W2
2021,1301,NC State,3,W,W3
2021,1272,Memphis,1,X,X1
2021,1173,Dayton,4,X,X4
2021,1129,Boise St,2,X,X2
2021,1374,SMU,3,X,X3
2021,1387,St Louis,1,Y,Y1
2021,1280,Mississippi St,4,Y,Y4
2021,1350,Richmond,2,Y,Y2
2021,1405,Toledo,3,Y,Y3
2021,1279,Mississippi,1,Z,Z1
2021,1256,Louisiana Tech,4,Z,Z4
2021,1388,St Mary's CA,2,Z,Z2
2021,1443,WKU,3,Z,Z3
