TeamName,Elite8,Final4,Final,Champ
Boise St,1.0,0.4479672682800491,0.22529927408408865,0.11753805307045155
Colorado St,1.0,0.4841773601058988,0.21932877168211568,0.11038947936149048
Dayton,0.30986909999999995,0.13213697807005037,0.05667105013676412,0.024593364405105508
Louisiana Tech,1.0,0.5279995943081186,0.20120164918618164,0.07936146017599412
Memphis,0.6901309,0.41989575364990045,0.2564051805626017,0.15837157336334745
Mississippi St,0.357075776,0.14913657935845875,0.08154412854016731,0.03472035171433469
NC State,1.0,0.5158226398941013,0.24229572353442988,0.12406398627252317
Richmond,1.0,0.47851548560730234,0.2929295237033811,0.14630963575608638
St Louis,0.6429242239999999,0.37234793503423885,0.24979315622378873,0.14047477049073506
WKU,1.0,0.4720004056918814,0.17453154234648113,0.06417732538993151
